Species,Trait
Costularia_itremoesis,C3
Costularia_leucocarpa,C3
Costularia_melicoides,C3
Costularia_melleri,C3
Costularia_natalensis,C3
Costularia_pantopoda,C3
Costularia_purpurea,C3
Costularia_robusta,C3
Costularia_xipholepis,C3
Cyathocoma_hexandra,C3
Cyperus_acuminatus,C3
Cyperus_africanus,C4
Cyperus_aggregatus,C4
Cyperus_ajax,C3
Cyperus_alatus,C4
Cyperus_albescens,C4
Cyperus_albostriatus,C3
Cyperus_alleizettei,C4
Cyperus_alopecuroides,C4
Cyperus_alternifolius,C3
Cyperus_alternifolius_textilis,C3
Cyperus_amuricus,C4
Cyperus_aristulatus,C4
Cyperus_aromaticus,C4
Cyperus_articulatus,C4
Cyperus_ascocapensis,C4
Cyperus_ascopusillus,C4
Cyperus_assimilis,C3
Cyperus_aterrimus,C4
Cyperus_balfourii,C3
Cyperus_betafensis,C3
Cyperus_bipartitus,C4
Cyperus_blepharoleptos,C3
Cyperus_bracheilema,C4
Cyperus_brasiliensis,C4
Cyperus_brevifolius,C4
Cyperus_buchholzii,C3
Cyperus_bulbosus,C4
Cyperus_capillifolius,C4
Cyperus_capitatus,C4
Cyperus_cataractarum,C4
Cyperus_cephalanthus,C4
Cyperus_chamaecephalus,C3
Cyperus_chlorotropis,C4
Cyperus_clandestinus,C4
Cyperus_compressus,C4
Cyperus_congestus,C4
Cyperus_conglomeratus,C4
Cyperus_constrictus,C4
Cyperus_corymbosus,C4
Cyperus_crassicuspis,C4
Cyperus_croceus,C4
Cyperus_cuspidatus,C4
Cyperus_cyperoides,C4
Cyperus_debilissimus,C3
Cyperus_denudatus,C3
Cyperus_dichrostachyus,C3
Cyperus_difformis,C3
Cyperus_digitatus,C4
Cyperus_distans,C4
Cyperus_distichus,C4
Cyperus_distinctus,C3
Cyperus_dives,C4
Cyperus_dubius,C4
Cyperus_echinatus,C4
Cyperus_elegans,C4
Cyperus_elegans_rubiginosus,C4
Cyperus_elegantulus,C4
Cyperus_endlichii,C4
Cyperus_entrerianus,C3
Cyperus_eragrostis,C3
Cyperus_erinaceus,C4
Cyperus_eriocauloides,C4
Cyperus_erythrorhizos,C4
Cyperus_esculentus,C4
Cyperus_exilis,C4
Cyperus_fibrillosus,C4
Cyperus_filicinus,C4
Cyperus_filiculmis,C4
Cyperus_filiformis,C4
Cyperus_flaccidus,C3
Cyperus_flavescens,C4
Cyperus_flavescens_rehmannianus,C4
Cyperus_flavidus,C4
Cyperus_foliaceus,C3
Cyperus_friburgensis,C3
Cyperus_fulgens,C4
